instance,worse,median,best,seed1,fitness1,time1,seed2,fitness2,time2,seed3,fitness3,time3,seed4,fitness4,time4,seed5,fitness5,time5
pr226_n225_uncorr_05,30146.5691710175,30275.0106906726,30296.3150774678,25,30275.0106906726,598.466842924,145,30275.0106906726,159.179502458,265,30296.3150774678,63.560841104,385,30296.3150774678,263.687059067,505,30146.5691710175,218.890561776
pr226_n225_uncorr_06,31517.6241686588,31523.8318394747,31544.0457159645,26,31523.8318394747,511.146980125,146,31544.0457159645,474.863697392,266,31522.2237143922,253.329779823,386,31517.6241686588,552.082584802,506,31544.0457159645,228.533659346
pr226_n225_uncorr_07,31595.6385207468,32096.7547864105,32139.0381737303,27,32095.7086083261,571.338938651,147,31595.6385207468,203.126538814,267,32118.708396599,375.399026276,387,32096.7547864105,17.664260157,507,32139.0381737303,478.078705633
pr226_n225_uncorr_08,33393.5855427858,33415.444567396,33415.444567396,28,33415.444567396,20.395874243,148,33415.444567396,203.462525066,268,33393.5855427858,332.001722595,388,33415.444567396,18.994621176,508,33393.5855427858,61.548819878
pr226_n225_uncorr_09,36408.123815581,36408.123815581,36408.123815581,29,36408.123815581,51.75805723,149,36408.123815581,235.382586918,269,36408.123815581,163.1550424,389,36408.123815581,76.045317401,509,36408.123815581,186.510031203
pr226_n225_uncorr_10,37680.7837162591,37703.2555148473,37703.2555148473,30,37703.2555148473,477.003189173,150,37701.7801986127,120.136255607,270,37703.2555148473,179.419082845,390,37703.2555148473,149.731692291,510,37680.7837162591,98.233394088
pr226_n675_bounded-strongly-corr_01,45719.9777531321,45719.9777531321,45731.2985299663,31,45719.9777531321,413.38869158,151,45719.9777531321,121.016808415,271,45719.9777531321,582.23379686,391,45726.3285142072,595.382029159,511,45731.2985299663,131.898371504
pr226_n675_bounded-strongly-corr_02,87591.368270623,88256.3859592387,88288.6642598581,32,88192.0688538344,534.396765347,152,88286.6366872117,284.158401318,272,88256.3859592387,67.232095481,392,87591.368270623,328.601691566,512,88288.6642598581,190.397526862
pr226_n675_bounded-strongly-corr_03,113768.96443375,113772.122754907,113875.916043266,33,113875.916043266,226.375994794,153,113829.991591077,456.390618005,273,113772.122754907,176.007948319,393,113770.795798559,376.982373577,513,113768.96443375,228.085221886
pr226_n675_bounded-strongly-corr_04,136661.940700165,138960.593197943,138969.159698558,34,136661.940700165,246.291861375,154,138969.159698558,94.571544079,274,138964.572451018,429.976547102,394,136661.940700165,310.505689622,514,138960.593197943,214.909669334
pr226_n675_bounded-strongly-corr_05,153826.069731955,153839.620341828,153848.913651502,35,153839.620341828,68.477069946,155,153839.620341828,95.101462231,275,153839.620341828,77.579662137,395,153848.913651502,111.43551144,515,153826.069731955,9.972888375
pr226_n675_bounded-strongly-corr_06,140484.764397847,140507.452410544,141663.547756895,36,140498.49507314,533.771201601,156,141663.547756895,293.587955035,276,140507.452410544,322.633400979,396,140484.764397847,12.285709458,516,140507.452410544,526.79723494
