instance,MEA2P
berlin52_n153_uncorr_06,18679
berlin52_n153_uncorr_07,20767
berlin52_n153_uncorr_08,22431
berlin52_n153_uncorr_09,22146
berlin52_n153_uncorr_10,24162
berlin52_n153_uncorr-similar-weights_01,5831
berlin52_n153_uncorr-similar-weights_02,10320
berlin52_n153_uncorr-similar-weights_03,12163
berlin52_n153_uncorr-similar-weights_04,12565
berlin52_n153_uncorr-similar-weights_05,17325
berlin52_n153_uncorr-similar-weights_06,19066
berlin52_n153_uncorr-similar-weights_07,21489
berlin52_n153_uncorr-similar-weights_08,23833
berlin52_n153_uncorr-similar-weights_09,25466
berlin52_n153_uncorr-similar-weights_10,27626
berlin52_n255_bounded-strongly-corr_01,16452
berlin52_n255_bounded-strongly-corr_02,33026
berlin52_n255_bounded-strongly-corr_03,50202
berlin52_n255_bounded-strongly-corr_04,59874
berlin52_n255_bounded-strongly-corr_05,71028
berlin52_n255_bounded-strongly-corr_06,86361
berlin52_n255_bounded-strongly-corr_07,93790
berlin52_n255_bounded-strongly-corr_08,99877
berlin52_n255_bounded-strongly-corr_09,99675
berlin52_n255_bounded-strongly-corr_10,90946
berlin52_n255_uncorr_01,20040
berlin52_n255_uncorr_02,25247
berlin52_n255_uncorr_03,31356
berlin52_n255_uncorr_04,35482
berlin52_n255_uncorr_05,37324
berlin52_n255_uncorr_06,37561
berlin52_n255_uncorr_07,41754
berlin52_n255_uncorr_08,40566
berlin52_n255_uncorr_09,40911
berlin52_n255_uncorr_10,43354
berlin52_n255_uncorr-similar-weights_01,10939
berlin52_n255_uncorr-similar-weights_02,17247
berlin52_n255_uncorr-similar-weights_03,21881
berlin52_n255_uncorr-similar-weights_04,25116
berlin52_n255_uncorr-similar-weights_05,29602
berlin52_n255_uncorr-similar-weights_06,32436
berlin52_n255_uncorr-similar-weights_07,35817
berlin52_n255_uncorr-similar-weights_08,40735
berlin52_n255_uncorr-similar-weights_09,44452
berlin52_n255_uncorr-similar-weights_10,47893
berlin52_n510_bounded-strongly-corr_01,32344
berlin52_n510_bounded-strongly-corr_02,61345
berlin52_n510_bounded-strongly-corr_03,90457
berlin52_n510_bounded-strongly-corr_04,113043
berlin52_n510_bounded-strongly-corr_05,134909
berlin52_n510_bounded-strongly-corr_06,155671
berlin52_n510_bounded-strongly-corr_07,170350
berlin52_n510_bounded-strongly-corr_08,183273
berlin52_n510_bounded-strongly-corr_09,187669
berlin52_n510_bounded-strongly-corr_10,180308
berlin52_n510_uncorr_01,40877
berlin52_n510_uncorr_02,57102
berlin52_n510_uncorr_03,62478
berlin52_n510_uncorr_04,72132
berlin52_n510_uncorr_05,77081
berlin52_n510_uncorr_06,81393
berlin52_n510_uncorr_07,86375
berlin52_n510_uncorr_08,88967
berlin52_n510_uncorr_09,89727
berlin52_n510_uncorr_10,96519
berlin52_n510_uncorr-similar-weights_01,25803
berlin52_n510_uncorr-similar-weights_02,38945
berlin52_n510_uncorr-similar-weights_03,48477
berlin52_n510_uncorr-similar-weights_04,54691
berlin52_n510_uncorr-similar-weights_05,61744
berlin52_n510_uncorr-similar-weights_06,66311
berlin52_n510_uncorr-similar-weights_07,71737
berlin52_n510_uncorr-similar-weights_08,78985
berlin52_n510_uncorr-similar-weights_09,87443
berlin52_n510_uncorr-similar-weights_10,94630
eil51_n150_bounded-strongly-corr_01,7253
eil51_n150_bounded-strongly-corr_02,13447
eil51_n150_bounded-strongly-corr_03,15767
eil51_n150_bounded-strongly-corr_04,21615
eil51_n150_bounded-strongly-corr_05,22996
eil51_n150_bounded-strongly-corr_06,21045
eil51_n150_bounded-strongly-corr_07,21226
eil51_n150_bounded-strongly-corr_08,20725
eil51_n150_bounded-strongly-corr_09,23553
eil51_n150_bounded-strongly-corr_10,24359
eil51_n150_uncorr_01,6884
eil51_n150_uncorr_02,9363
eil51_n150_uncorr_03,11360
eil51_n150_uncorr_04,9086
eil51_n150_uncorr_05,9734
eil51_n150_uncorr_06,11135
eil51_n150_uncorr_07,11763
eil51_n150_uncorr_08,14415
eil51_n150_uncorr_09,17394
eil51_n150_uncorr_10,20173
eil51_n150_uncorr-similar-weights_01,4325
eil51_n150_uncorr-similar-weights_02,7958
eil51_n150_uncorr-similar-weights_03,11166
eil51_n150_uncorr-similar-weights_04,8118
eil51_n150_uncorr-similar-weights_05,9103
eil51_n150_uncorr-similar-weights_06,9786
eil51_n150_uncorr-similar-weights_07,11637
eil51_n150_uncorr-similar-weights_08,12294
eil51_n150_uncorr-similar-weights_09,13889
eil51_n150_uncorr-similar-weights_10,15940
eil51_n250_bounded-strongly-corr_01,11719
eil51_n250_bounded-strongly-corr_02,20675
eil51_n250_bounded-strongly-corr_03,31655
eil51_n250_bounded-strongly-corr_04,34101
eil51_n250_bounded-strongly-corr_05,33297
eil51_n250_bounded-strongly-corr_06,39454
eil51_n250_bounded-strongly-corr_07,38528
eil51_n250_bounded-strongly-corr_08,42302
eil51_n250_bounded-strongly-corr_09,42440
eil51_n250_bounded-strongly-corr_10,39166
eil51_n250_uncorr_01,11753
eil51_n250_uncorr_02,17689
eil51_n250_uncorr_03,15963
eil51_n250_uncorr_04,18707
eil51_n250_uncorr_05,18815
eil51_n250_uncorr_06,20944
eil51_n250_uncorr_07,19377
eil51_n250_uncorr_08,23593
eil51_n250_uncorr_09,26795
eil51_n250_uncorr_10,31062
eil51_n250_uncorr-similar-weights_01,5792
eil51_n250_uncorr-similar-weights_02,10300
eil51_n250_uncorr-similar-weights_03,12566
eil51_n250_uncorr-similar-weights_04,12061
eil51_n250_uncorr-similar-weights_05,14428
eil51_n250_uncorr-similar-weights_06,17100
eil51_n250_uncorr-similar-weights_07,19984
eil51_n250_uncorr-similar-weights_08,19516
eil51_n250_uncorr-similar-weights_09,22623
eil51_n250_uncorr-similar-weights_10,27806
eil51_n500_bounded-strongly-corr_01,26862
eil51_n500_bounded-strongly-corr_02,42913
eil51_n500_bounded-strongly-corr_03,64258
eil51_n500_bounded-strongly-corr_04,70090
eil51_n500_bounded-strongly-corr_05,77605
eil51_n500_bounded-strongly-corr_06,80925
eil51_n500_bounded-strongly-corr_07,83065
eil51_n500_bounded-strongly-corr_08,82008
eil51_n500_bounded-strongly-corr_09,81896
eil51_n500_bounded-strongly-corr_10,80039
eil51_n500_uncorr_01,23040
eil51_n500_uncorr_02,34045
eil51_n500_uncorr_03,42494
eil51_n500_uncorr_04,42411
eil51_n500_uncorr_05,46899
eil51_n500_uncorr_06,46829
eil51_n500_uncorr_07,45380
