instance,tsp,cities,items,type,capacity,best,algo,S1,S2,S3,S4,S5,C1,C2,C3,C4,C5,C6,MATLS,DH,M3,M4,M3B,M4B,RLS,EA,SH,NDSBRKGA,WSM,JK17,JC17,MY17,WC17,HLS,CS2SA*,CS2SA-R,JNB,J2B,MEA2P,COCO,COCOP,COCOL
eil51_n50_uncorr-similar-weights_06,eil51,51,1,usw,6,2929.0,"JNB,J2B",-290.5028543,1933.084001,1933.084001,1933.084001,1933.084001,1933.084001,-286.1592315,1933.084001,1933.084001,1933.084001,1933.084001,2212.95,518.68,2343.544304,2742.660143,2343.544304,2742.660143,1933.084001,1933.084001,-1581.54,1960.16813,1933.08402,-inf,2742.66014299283,1595.57081570856,-inf,-inf,-inf,-inf,2929.0,2929.0,2743.0,-inf,-inf,-inf
eil51_n50_uncorr-similar-weights_07,eil51,51,1,usw,7,2867.0,"JC17,MEA2P",-91.8135712,2133.301357,2133.301357,2133.301357,2133.301357,2133.301357,-91.8135712,2133.301357,2133.301357,2133.301357,2133.301357,2506.12,644.55,2449.930382,2814.56999,2487.694258,2856.959679,2097.383301,2133.301357,-1297.72,2176.40222,2133.30139,-inf,2867.27912562953,2116.31225869007,-inf,-inf,-inf,-inf,-inf,-inf,2867.0,-inf,-inf,-inf
eil51_n50_uncorr-similar-weights_08,eil51,51,1,usw,8,3484.0,"JC17,MEA2P",2977.387958,2977.387958,2977.387958,2977.387958,2977.387958,2977.387958,846.9188685,2977.387958,2977.387958,2977.387958,2977.387958,3258.12,1984.92,3258.118314,3444.079792,3258.118314,3451.754984,2977.387958,2977.387958,-1483.62,2977.38786,2977.38786,-inf,3483.78572920619,2977.38795782152,-inf,-inf,-inf,-inf,-inf,-inf,3484.0,-inf,-inf,-inf
eil51_n50_uncorr-similar-weights_09,eil51,51,1,usw,9,4200.0,"JC17,MEA2P",1864.498943,3894.326344,3894.326344,3894.326344,3894.326344,3894.326344,1864.498943,3894.326344,3894.326344,3894.326344,3894.326344,3961.05,3561.36,4076.518311,4094.236321,4076.518311,4080.659325,3894.326344,3894.326344,-1378.01,3894.32634,3894.32634,-inf,4200.02452064935,3876.1777063728,-inf,-inf,-inf,-inf,-inf,-inf,4200.0,-inf,-inf,-inf
eil51_n50_uncorr-similar-weights_10,eil51,51,1,usw,10,6519.0,"JNB,J2B",3575.122425,5420.361199,5420.361199,5420.361199,5420.361199,5420.361199,3576.7749,5420.361199,5420.361199,5420.361199,5420.361199,5511.75,5359.93,5581.519529,5631.517289,5631.517289,5631.517289,5404.693359,5420.361199,1739.05,5420.3612,5420.3612,-inf,5631.51728895723,5292.52346138927,-inf,-inf,-inf,-inf,6519.0,6519.0,5632.0,-inf,-inf,-inf
eil51_n150_bounded-strongly-corr_01,eil51,51,3,bsc,1,7253.0,MEA2P,6369.826368,6741.94507,6785.057791,6750.074532,6750.074532,6369.826368,6750.074532,6750.074532,6750.074532,6750.074532,6785.057791,6778.93,3295.03,7083.776825,7167.745747,7121.391849,7168.58251,4486.614416,6664.324548,3295.03,6379.75865,6785.05779,-inf,7178.76505001543,6805.46166237404,-inf,-inf,-inf,-inf,-inf,-inf,7253.0,-inf,-inf,-inf
eil51_n150_bounded-strongly-corr_02,eil51,51,3,bsc,2,13447.0,"JC17,MEA2P",11188.51226,12868.18012,12958.34537,12876.13496,12876.13496,11194.27269,11194.27269,12876.13496,12922.06004,12876.13496,12958.34537,12707.2,9163.66,13167.73683,13383.08222,13187.78566,13319.15053,11672.67498,12795.81677,9163.66,12958.34522,12933.25763,-inf,13446.5929352029,13014.3339424853,-inf,-inf,-inf,-inf,-inf,-inf,13447.0,-inf,-inf,-inf
eil51_n150_bounded-strongly-corr_03,eil51,51,3,bsc,3,15855.0,"C6,M3B,NDSBRKGA,WSM,JC17",15831.01153,15826.40963,15849.77845,15831.01153,15831.01153,12263.82754,12263.82754,15831.01153,15831.01153,15831.01153,15854.517,15426.7,12244.49,15831.01153,15831.01153,15854.517,15831.01153,15036.85092,15786.46806,12050.11,15854.51682,15854.51682,-inf,15854.5170033902,15849.7784514413,-inf,-inf,-inf,-inf,-inf,-inf,15767.0,-inf,-inf,-inf
eil51_n150_bounded-strongly-corr_04,eil51,51,3,bsc,4,21641.0,"C6,M3B,M4B,NDSBRKGA,WSM,JC17,MY17",21623.69721,15977.04846,21593.17918,21623.69721,21623.69721,15977.04846,15977.04846,21595.46258,21623.69721,21623.69721,21641.34791,20675.3,18580.43,21623.69721,21623.69721,21641.34791,21641.34791,21336.82173,21558.13704,17439.94,21641.348,21641.348,-inf,21641.3479103141,21641.3479103141,-inf,-inf,-inf,-inf,-inf,-inf,21615.0,-inf,-inf,-inf
eil51_n150_bounded-strongly-corr_05,eil51,51,3,bsc,5,22996.0,"S1,S4,S5,C3,C4,C5,C6,M3,M4,M3B,M4B,NDSBRKGA,WSM,JC17,MY17,MEA2P",22995.97937,15233.85917,22947.50594,22995.97937,22995.97937,15233.85917,15233.85917,22995.97937,22995.97937,22995.97937,22995.97937,22470.7,21146.32,22995.97937,22995.97937,22995.97937,22995.97937,22366.3974,22913.38385,18498.89,22995.97926,22995.97926,-inf,22995.9793743036,22995.9793743036,-inf,-inf,-inf,-inf,-inf,-inf,22996.0,-inf,-inf,-inf
eil51_n150_bounded-strongly-corr_06,eil51,51,3,bsc,6,21045.0,"C1,C2,C5,C6,M3B,M4B,NDSBRKGA,WSM,JC17,MY17,MEA2P",21038.87427,11637.85458,21038.96397,21038.87427,21038.87427,21044.71195,21044.71195,21038.96397,21038.96397,21044.71195,21044.71195,19890.0,19705.01,21038.87427,21038.87427,21044.71195,21044.71195,20956.5178,21011.68478,14446.99,21044.71231,21044.71231,-inf,21044.7119547434,21044.7119547434,-inf,-inf,-inf,-inf,-inf,-inf,21045.0,-inf,-inf,-inf
eil51_n150_bounded-strongly-corr_07,eil51,51,3,bsc,7,21226.0,"C2,C5,C6,M3B,M4B,NDSBRKGA,WSM,JC17,MY17,MEA2P",21185.82374,10541.46001,21188.24384,21224.04105,21224.04105,21224.04105,21225.76457,21224.04105,21224.04105,21225.76457,21225.76457,20813.1,19853.83,21224.04105,21224.04105,21225.76457,21225.76457,21153.59908,21188.24384,11696.58,21225.76494,21225.76494,-inf,21225.7645653484,21225.7645653484,-inf,-inf,-inf,-inf,-inf,-inf,21226.0,-inf,-inf,-inf
eil51_n150_bounded-strongly-corr_08,eil51,51,3,bsc,8,20725.0,"S3,C6,M3B,M4B,NDSBRKGA,WSM,JC17,MY17,MEA2P",9173.147574,9173.147574,20724.64634,20716.33485,20716.33485,20716.33485,20719.68602,20716.33485,20716.33485,20716.33485,20724.64634,20178.0,19405.86,20716.33485,20716.33485,20724.64634,20724.64634,20646.85554,20677.00129,7659.11,20724.64609,20724.64609,-inf,20724.6463438861,20724.6463438861,-inf,-inf,-inf,-inf,-inf,-inf,20725.0,-inf,-inf,-inf
